key,type,title,epic_key,area,priority,size,depends_on,doc_path,anchor,goal
NBB-201,Task,"Consolidate auth identity, token validation, query-token policy, and project access",NBB-002,backend/auth,P0,L,NBB-104;NBB-107,docs/tickets/epics/NBB-002.md,#nbb-201,Create one canonical identity and project-access path.
NBB-202A,Task,Make permissions explicit and fail-closed outside dev/single-user mode,NBB-002,backend/auth,P0,M,NBB-201,docs/tickets/epics/NBB-002.md,#nbb-202a,Stop unknown permissions and DB failures from opening production access.
NBB-202B,Task,Create ToolCapabilityPolicy for Claude-visible tools,NBB-002,backend/tool-policy,P0,M,NBB-202A;NBB-206;NBB-207C,docs/tickets/epics/NBB-002.md,#nbb-202b,Classify every Claude-visible tool before chat or analysis exposes it.
NBB-203,Task,Disable or flag off unsafe raw-code analysis outside dev/single-user mode before moving analysis code,NBB-002,backend/security,P0,M,NBB-103,docs/tickets/epics/NBB-002.md,#nbb-203,Quarantine active exec-code risk before source analysis is reorganized.
NBB-204,Task,"Own Supabase migrations, RLS, storage buckets, object-path contracts, and schema contracts",NBB-002,backend/data-contracts,P0,L,NBB-104,docs/tickets/epics/NBB-002.md,#nbb-204,Make database storage and RLS contracts first-class architecture.
NBB-205,Task,Define named cross-stack contracts,NBB-002,contracts,P0,L,NBB-104,docs/tickets/epics/NBB-002.md,#nbb-205,Name and preserve backend/frontend wire contracts before parallel migration.
NBB-206,Task,Define providers and connectors boundaries and dependency-direction rules,NBB-002,backend/external-edge,P0,M,NBB-104,docs/tickets/epics/NBB-002.md,#nbb-206,Define external edge ownership without stealing domain-owned operations.
NBB-207A,Task,Add prompt and tool loader registry shims,NBB-002,backend/assets,P0,M,NBB-104,docs/tickets/epics/NBB-002.md,#nbb-207a,Make old and new prompt/tool asset locations load safely during migration.
NBB-207B,Task,Define prompt ownership and prompt-loader compatibility,NBB-002,backend/prompts,P0,M,NBB-207A,docs/tickets/epics/NBB-002.md,#nbb-207b,Lock prompt JSON ownership without moving prompts before loader support exists.
NBB-207C,Task,Define tool-schema ownership map,NBB-002,backend/tools,P0,M,NBB-207A;NBB-203,docs/tickets/epics/NBB-002.md,#nbb-207c,Lock every static tool JSON owner and expose inventory to tool policy work.
NBB-208A,Task,"Stabilize runtime config, app factory imports, env reload, and API-key validator ownership",NBB-002,backend/runtime,P0,M,NBB-104,docs/tickets/epics/NBB-002.md,#nbb-208a,Make runtime configuration and app bootstrap safe before settings or connector-heavy migrations.
NBB-208B,Task,Inventory observability and deployment boundaries,NBB-002,backend/runtime,P1,M,NBB-208A,docs/tickets/epics/NBB-002.md,#nbb-208b,Keep deployment logging and trace behavior visible without blocking runtime config migration.
NBB-209A,Task,Move chat and message stores,NBB-002,backend/data-stores,P0,M,NBB-204;NBB-109,docs/tickets/epics/NBB-002.md,#nbb-209a,Move chat/message CRUD stores before chat public surface depends on them.
NBB-209B,Task,Move project store,NBB-002,backend/data-stores,P1,S,NBB-204,docs/tickets/epics/NBB-002.md,#nbb-209b,Move project CRUD store without blocking unrelated stores.
NBB-209C,Task,Move auth user and password stores,NBB-002,backend/data-stores,P0,M,NBB-201,docs/tickets/epics/NBB-002.md,#nbb-209c,Move user/password persistence under auth after canonical identity lands.
NBB-209D,Task,Move brand stores,NBB-002,backend/data-stores,P1,S,NBB-204,docs/tickets/epics/NBB-002.md,#nbb-209d,Move brand asset and config stores to brand ownership.
NBB-209E,Task,Move connector stores,NBB-002,backend/data-stores,P1,M,NBB-204;NBB-206,docs/tickets/epics/NBB-002.md,#nbb-209e,Move database and MCP connection stores under connector ownership.
NBB-210,Task,Give background tasks and active-task status one owner,NBB-002,backend/background,P0,L,NBB-204;NBB-205,docs/tickets/epics/NBB-002.md,#nbb-210,Make task lifecycle cancellation and polling one owned subsystem.
NBB-003,Epic,Chat Domain Migration,,backend/chat,P0,L,NBB-106;NBB-107;NBB-109;NBB-201;NBB-202A;NBB-205;NBB-206;NBB-207A;NBB-207C;NBB-209A,docs/tickets/epics/NBB-003.md,#nbb-003,Move chat to an owned domain with explicit contracts and tool ownership.
NBB-301,Task,Create chat public surface and lock chat contracts,NBB-003,backend/chat,P0,M,NBB-106;NBB-107;NBB-201;NBB-202A;NBB-205;NBB-206;NBB-207A;NBB-207C;NBB-209A,docs/tickets/epics/NBB-003.md,#nbb-301,Create the chat import surface and preserve streaming citation and tool contracts.
NBB-302,Task,Split main_chat_service.py by real policy and state boundaries,NBB-003,backend/chat,P0,L,NBB-301,docs/tickets/epics/NBB-003.md,#nbb-302,Reduce the main chat service without creating shallow permanent wrappers.
NBB-303,Task,Assign chat-invoked tools to owning domains and connectors,NBB-003,backend/chat-tools,P0,L,NBB-202B;NBB-207A;NBB-207C;NBB-302,docs/tickets/epics/NBB-003.md,#nbb-303,Keep chat as orchestrator while domains own executable adapters.
NBB-304,Task,Resolve chat naming collisions,NBB-003,backend/chat,P1,S,NBB-302;NBB-209A,docs/tickets/epics/NBB-003.md,#nbb-304,Prevent old ChatService style names from surviving in new paths.
NBB-004,Epic,Sources Domain Migration,,backend/sources,P1,L,NBB-104;NBB-206,docs/tickets/epics/NBB-004.md,#nbb-004,Move ingestion importers citations stores and analysis to source-owned homes.
NBB-401,Task,Create source pipeline skeleton and file-format ownership map,NBB-004,backend/sources,P0,M,NBB-104;NBB-206,docs/tickets/epics/NBB-004.md,#nbb-401,Create pipeline-shaped source destinations and avoid generic file-provider drift.
NBB-402,Task,"Move ingestion, importers, source stores, citations, and source-content helpers",NBB-004,backend/sources,P1,L,NBB-106;NBB-205;NBB-401,docs/tickets/epics/NBB-004.md,#nbb-402,Give source ingestion and citations one obvious domain home.
NBB-403,Task,"Consolidate CSV, database, Freshdesk, and deep-research analysis slices",NBB-004,backend/sources-analysis,P1,L,NBB-202B;NBB-203;NBB-207A;NBB-207B;NBB-207C;NBB-401,docs/tickets/epics/NBB-004.md,#nbb-403,Stop scattering analysis features across agents executors and tool JSON.
NBB-005,Epic,Studio Domain Migration,,backend/studio,P1,XL,NBB-106;NBB-204;NBB-205;NBB-206;NBB-207A;NBB-207B;NBB-207C;NBB-210,docs/tickets/epics/NBB-005.md,#nbb-005,Move studio to category-owned slices while preserving job and tool/run layers.
NBB-501A,Task,Finalize canonical studio taxonomy,NBB-005,backend/studio,P0,S,NBB-104;NBB-207C,docs/tickets/epics/NBB-005.md,#nbb-501a,Lock studio categories and item names before registry mapping.
NBB-501B,Task,Build final studio item registry,NBB-005,backend/studio,P0,M,NBB-501A;NBB-106;NBB-204;NBB-205;NBB-206;NBB-207B;NBB-207C;NBB-210,docs/tickets/epics/NBB-005.md,#nbb-501b,Map studio items to current routes stores jobs prompt/tool assets and target paths.
NBB-502,Task,Map studio service/job/tool/run layers and status/progress contracts,NBB-005,backend/studio,P0,L,NBB-501B,docs/tickets/epics/NBB-005.md,#nbb-502,Document the five-file item pattern without forcing placeholder layers.
NBB-503,Task,Pilot one registry-selected studio item,NBB-005,backend/studio,P0,M,NBB-501B;NBB-502;NBB-207A;NBB-207B;NBB-207C,docs/tickets/epics/NBB-005.md,#nbb-503,Validate the studio map before migrating all categories.
NBB-504,Task,Migrate document items,NBB-005,backend/studio-documents,P1,L,NBB-503,docs/tickets/epics/NBB-005.md,#nbb-504,Move document generators into registry-approved document homes.
NBB-505,Task,Migrate marketing items,NBB-005,backend/studio-marketing,P1,L,NBB-503,docs/tickets/epics/NBB-005.md,#nbb-505,Move marketing generators into registry-approved marketing homes.
NBB-506,Task,Migrate design items and logo/brand support,NBB-005,backend/studio-design,P1,L,NBB-503,docs/tickets/epics/NBB-005.md,#nbb-506,Move design generators and settle logo/brand support ownership.
NBB-507,Task,Migrate learning media items,NBB-005,backend/studio-learning-media,P1,L,NBB-503,docs/tickets/epics/NBB-005.md,#nbb-507,Move learning and media generators into registry-approved homes.
NBB-006,Epic,Frontend Ownership Tightening,,frontend,P1,L,NBB-105;NBB-108A,docs/tickets/epics/NBB-006.md,#nbb-006,Keep the React/Vite shell while tightening ownership below it.
NBB-601,Task,Preserve frontend shells while tightening placement rules,NBB-006,frontend,P0,S,NBB-105,docs/tickets/epics/NBB-006.md,#nbb-601,Document what root frontend shells mean and where feature code belongs.
NBB-602,Task,Move feature-owned hooks providers under owning domains,NBB-006,frontend,P1,M,NBB-601;NBB-108A,docs/tickets/epics/NBB-006.md,#nbb-602,Stop feature hooks and providers from drifting into root buckets.
NBB-603,Task,Tighten lib contexts API clients citations exports and logger ownership,NBB-006,frontend,P1,M,NBB-601;NBB-108A;NBB-205,docs/tickets/epics/NBB-006.md,#nbb-603,Keep lib and contexts truthful without fighting React conventions.
NBB-604,Task,Normalize frontend domain subtrees and design-system guardrails,NBB-006,frontend,P1,M,NBB-602;NBB-603;NBB-108A,docs/tickets/epics/NBB-006.md,#nbb-604,Make chat sources and studio frontend subtrees consistently navigable.
NBB-007,Epic,"Verification, Enforcement, and Cleanup",,cleanup,P1,XL,NBB-003;NBB-004;NBB-005,docs/tickets/epics/NBB-007.md,#nbb-007,Deepen tests enforce boundaries and remove migration leftovers.
NBB-701,Task,Add chat tool contract tests,NBB-007,tests/chat,P1,M,NBB-303,docs/tickets/epics/NBB-007.md,#nbb-701,Protect chat tool routing and result contracts after migration.
NBB-702,Task,Add source citation and analysis tests,NBB-007,tests/sources,P1,L,NBB-402;NBB-403,docs/tickets/epics/NBB-007.md,#nbb-702,Protect source citation and analysis quarantine behavior after migration.
NBB-703,Task,Add studio job background status tests,NBB-007,tests/studio,P1,L,NBB-502;NBB-503;NBB-210,docs/tickets/epics/NBB-007.md,#nbb-703,Protect studio job lifecycle progress and status behavior.
NBB-704A,Task,Add early architecture checks,NBB-007,architecture,P1,S,NBB-104;NBB-206,docs/tickets/epics/NBB-007.md,#nbb-704a,Enforce root and dependency-direction basics before full migration completes.
NBB-704B,Task,Add rich post-migration import-boundary checks,NBB-007,architecture,P1,M,NBB-704A;NBB-302;NBB-402;NBB-503;NBB-603,docs/tickets/epics/NBB-007.md,#nbb-704b,Prevent migrated domains from regressing into old buckets or cross-domain internals.
NBB-704C,Task,Add type and AST safety checks,NBB-007,architecture,P1,M,NBB-704B;NBB-109;NBB-705E,docs/tickets/epics/NBB-007.md,#nbb-704c,Run pyright and AST safety checks before final cleanup deletes shims.
NBB-705A,Task,Drain auth utilities,NBB-007,backend/utils,P1,S,NBB-201;NBB-209C,docs/tickets/epics/NBB-007.md,#nbb-705a,Move auth utilities after auth ownership lands.
NBB-705B,Task,Drain source utilities,NBB-007,backend/utils,P1,M,NBB-402;NBB-403,docs/tickets/epics/NBB-007.md,#nbb-705b,Move source utilities after source owners exist.
NBB-705C,Task,Drain provider and Anthropic utilities,NBB-007,backend/utils,P1,M,NBB-205;NBB-206;NBB-208A,docs/tickets/epics/NBB-007.md,#nbb-705c,Move Claude cost token and media helpers under provider ownership.
NBB-705D,Task,Drain studio utilities,NBB-007,backend/utils,P1,M,NBB-502;NBB-503;NBB-504;NBB-506,docs/tickets/epics/NBB-007.md,#nbb-705d,Move studio export screenshot and design utilities after relevant studio owners exist.
NBB-705E,Task,Verify final utils exceptions,NBB-007,backend/utils,P1,S,NBB-705A;NBB-705B;NBB-705C;NBB-705D,docs/tickets/epics/NBB-007.md,#nbb-705e,Confirm utils contains only approved exceptions or documented rehomes.
NBB-706,Task,"Drop suffix drift, convert stateless classes, remove barrels, delete shims, update final docs",NBB-007,cleanup,P1,L,NBB-701;NBB-702;NBB-703;NBB-704B;NBB-704C;NBB-705E,docs/tickets/epics/NBB-007.md,#nbb-706,Make the new structure the only current structure.
NBB-008,Epic,Services Eradication and Final Boundary Enforcement,,cleanup-services,P1,XL,NBB-007,docs/tickets/epics/NBB-008.md,#nbb-008,Remove the remaining services root and enforce that app.services cannot return.
NBB-801,Task,Record Epic 008 and lock the services drain map,NBB-008,cleanup-services,P1,S,NBB-706,docs/tickets/epics/NBB-008.md,#nbb-801,Add the continuation epic and every remaining services owner decision before code movement resumes.
NBB-802,Task,Delete already-dead services residue,NBB-008,cleanup-services,P1,S,NBB-801,docs/tickets/epics/NBB-008.md,#nbb-802,Remove tracked and ignored services leftovers that no live code imports.
NBB-803,Task,Drain source AI and link agent services,NBB-008,backend/sources,P1,L,NBB-802,docs/tickets/epics/NBB-008.md,#nbb-803,Move source extraction embedding summary and link-agent behavior out of services.
NBB-804,Task,Move chat memory merge out of ai_services,NBB-008,backend/chat,P1,M,NBB-803,docs/tickets/epics/NBB-008.md,#nbb-804,Put memory merge behavior under chat memory and delete the remaining ai_services import.
NBB-805,Task,Drain settings runtime and validator dispatcher,NBB-008,backend/settings,P1,M,NBB-802,docs/tickets/epics/NBB-008.md,#nbb-805,Move settings env and validation dispatch behavior out of services.
NBB-806,Task,Physically split provider clients and provider validators,NBB-008,backend/providers,P1,L,NBB-805,docs/tickets/epics/NBB-008.md,#nbb-806,Move raw provider clients and provider-owned validators to providers.
NBB-807,Task,Physically split connector clients sync and connector validators,NBB-008,backend/connectors,P1,L,NBB-806,docs/tickets/epics/NBB-008.md,#nbb-807,Move connector clients sync logic tool routing and connector validators to connectors.
NBB-808,Task,Drain remaining source upload and processing services,NBB-008,backend/sources,P1,L,NBB-803,docs/tickets/epics/NBB-008.md,#nbb-808,Move source upload and processing behavior into source-owned modules.
NBB-809,Task,Drain studio job index service,NBB-008,backend/studio,P1,M,NBB-802,docs/tickets/epics/NBB-008.md,#nbb-809,Move studio job index behavior under studio jobs and delete studio_services.
NBB-810,Task,Drain services tool JSON schemas,NBB-008,backend/tools,P1,L,NBB-804;NBB-806;NBB-807;NBB-808;NBB-809,docs/tickets/epics/NBB-008.md,#nbb-810,Move all remaining static tool JSON schemas to owning domains and connectors.
NBB-811,Task,Delete services root and enforce no return,NBB-008,architecture,P1,M,NBB-810,docs/tickets/epics/NBB-008.md,#nbb-811,Delete backend app services and fail future app.services imports or files.
NBB-812,Task,Erase remaining frozen roots,NBB-008,architecture,P1,M,NBB-811,docs/tickets/epics/NBB-008.md,#nbb-812,Delete backend app utils and data prompts after moving final assets to owned roots.
NBB-813,Task,Reconcile post-812 deployment docs and retired-root guardrails,NBB-008,architecture,P1,S,NBB-812,docs/tickets/epics/NBB-008.md,#nbb-813,Remove stale deployment prompt seeding docs and harden current-doc checks after frozen roots are gone.
NBB-009,Epic,Deferred Closure and Runtime Hardening,,hardening,P1,XL,NBB-008,docs/tickets/epics/NBB-009.md,#nbb-009,Close selected deferred migration risks after services and frozen roots are gone.
NBB-901,Task,Register Epic 009 and reconcile deferred state,NBB-009,hardening,P1,S,NBB-813,docs/tickets/epics/NBB-009.md,#nbb-901,Add the hardening epic and align deferred-state bookkeeping before code changes.
NBB-902,Task,Rebuild config as Hydra-like Pydantic runtime tree,NBB-009,backend/config,P1,L,NBB-901,docs/tickets/epics/NBB-009.md,#nbb-902,Move runtime config into app config and make loader module names explicit.
NBB-903,Task,Fix dev-mode API middleware parity,NBB-009,backend/auth,P1,M,NBB-902,docs/tickets/epics/NBB-009.md,#nbb-903,Make the API transport guard honor the canonical dev-mode identity policy.
NBB-904,Task,Fix OAuth callback auth boundary,NBB-009,backend/auth,P1,M,NBB-903,docs/tickets/epics/NBB-009.md,#nbb-904,Bypass generic JWT only for signed-state OAuth callbacks.
NBB-905,Task,Split project access from project opening,NBB-009,backend/projects,P1,M,NBB-904,docs/tickets/epics/NBB-009.md,#nbb-905,Keep project reads side-effect-free and reserve last-access mutation for the open action.
NBB-906,Task,Lock API routes as transport-only,NBB-009,architecture,P1,M,NBB-905,docs/tickets/epics/NBB-009.md,#nbb-906,Enforce that app api remains HTTP transport and is not imported by product code.
NBB-907,Task,Replace raw CSV code execution with declarative analysis,NBB-009,backend/sources,P1,L,NBB-906,docs/tickets/epics/NBB-009.md,#nbb-907,Replace model-written Python with validated declarative table analysis.
NBB-908,Task,Add frontend Vitest RTL smoke coverage,NBB-009,frontend,P1,M,NBB-901,docs/tickets/epics/NBB-009.md,#nbb-908,Add frontend shell permission citation and workspace smoke tests.
NBB-909,Task,Final deferred reconciliation and verification,NBB-009,hardening,P1,M,NBB-907;NBB-908,docs/tickets/epics/NBB-009.md,#nbb-909,Mark resolved deferred items and keep broad security and contract redesign explicitly deferred.
NBB-910,Task,Split signup ownership from global admin bootstrap,NBB-009,backend/auth,P1,M,NBB-909,docs/tickets/epics/NBB-009.md,#nbb-910,Let public signup create users or workspace owners without implicit global admin.
NBB-911,Task,Replace primary JWT browser asset tokens with scoped asset access,NBB-009,backend/auth,P1,L,NBB-910,docs/tickets/epics/NBB-009.md,#nbb-911,Stop leaking primary bearer JWTs into generated previews and make browser asset access scoped.
NBB-912,Task,Add ownership to background tasks and harden service-role reads,NBB-009,backend/background,P1,L,NBB-911,docs/tickets/epics/NBB-009.md,#nbb-912,Ensure service-role aggregate reads cannot leak cross-project task or asset metadata.
NBB-913,Task,Complete provider and connector permission gates,NBB-009,backend/auth,P1,M,NBB-912,docs/tickets/epics/NBB-009.md,#nbb-913,Gate Google Drive ElevenLabs and MCP feature families with backend-owned capabilities.
NBB-914,Task,Reconcile Supabase storage paths policies and generated asset isolation,NBB-009,backend/providers,P1,L,NBB-912,docs/tickets/epics/NBB-009.md,#nbb-914,Align storage object ownership with project and user isolation and add cross-user asset tests.
NBB-915,Task,Harden Google OAuth production redirects and replay resistance,NBB-009,backend/auth,P1,M,NBB-913,docs/tickets/epics/NBB-009.md,#nbb-915,Move OAuth callback origins to runtime config and add nonce-backed state replay protection.
NBB-916,Task,Define backend-owned API and event DTO contracts,NBB-009,contracts,P1,L,NBB-915,docs/tickets/epics/NBB-009.md,#nbb-916,Name and validate public response event and JSONB contracts before frontend consumers tighten.
NBB-917,Task,Add frontend runtime contract parsers and authenticated SSE transport,NBB-009,frontend,P1,L,NBB-916,docs/tickets/epics/NBB-009.md,#nbb-917,Parse API payloads at the frontend boundary and make SSE share auth refresh semantics.
NBB-918,Task,Reconcile deferred security and contract state after hardening wave,NBB-009,hardening,P1,M,NBB-914;NBB-917,docs/tickets/epics/NBB-009.md,#nbb-918,Close or narrow D-003 and D-005 after security and contract hardening land.
NBB-010,Epic,Workspace Membership and Project Sharing,,membership,P1,XL,NBB-009,docs/tickets/epics/NBB-010.md,#nbb-010,Close the remaining D-005 workspace team and private-project membership contract.
NBB-1001,Task,Register workspace membership epic and contracts,NBB-010,membership,P1,S,NBB-918,docs/tickets/epics/NBB-010.md,#nbb-1001,Record the workspace role model private-project default and execution slices.
NBB-1002,Task,Add workspace membership schema and backfill,NBB-010,backend/data-contracts,P1,L,NBB-1001,docs/tickets/epics/NBB-010.md,#nbb-1002,Create workspaces memberships project memberships invites and workspace-scoped settings tables.
NBB-1003,Task,Expose workspace context in auth session contracts,NBB-010,backend/auth,P1,L,NBB-1002,docs/tickets/epics/NBB-010.md,#nbb-1003,Make signup signin refresh and me return selected workspace role capabilities and membership lists.
NBB-1004,Task,Enforce private project membership access,NBB-010,backend/projects,P1,L,NBB-1003,docs/tickets/epics/NBB-010.md,#nbb-1004,Switch project list create read write delete guards from owner-only user_id to explicit project membership.
NBB-1005,Task,Add workspace team invites and project sharing APIs,NBB-010,backend/membership,P1,L,NBB-1004,docs/tickets/epics/NBB-010.md,#nbb-1005,Add signed workspace invites member management and project sharing endpoints with role-aware guards.
NBB-1006,Task,Move workspace settings and provider secrets to workspace scope,NBB-010,backend/settings,P1,L,NBB-1005,docs/tickets/epics/NBB-010.md,#nbb-1006,Move team brand model provider key and API settings from user/global fiction to workspace scope.
NBB-1007,Task,Update frontend workspace and project sharing flows,NBB-010,frontend,P1,L,NBB-1005;NBB-1006,docs/tickets/epics/NBB-010.md,#nbb-1007,Replace global admin team UI with workspace members invites selected workspace and private project sharing flows.
NBB-1008,Task,Reconcile workspace membership docs tests and deferred state,NBB-010,membership,P1,M,NBB-1007,docs/tickets/epics/NBB-010.md,#nbb-1008,Mark D-005 resolved and prove workspace membership private project and settings contracts with full verification.
NBB-011,Epic,Typed Agent Runtime and Multi-Provider LLM Layer,,agents-runtime,P1,XL,NBB-010,docs/tickets/epics/NBB-011.md,#nbb-011,Replace Anthropic-shaped AI integration with typed provider-neutral runtime and multi-provider adapters.
NBB-1101,Task,Register typed agent runtime epic and boundaries,NBB-011,agents-runtime,P1,S,NBB-1008,docs/tickets/epics/NBB-011.md,#nbb-1101,Record the provider-neutral runtime boundary and execution slices before rewiring AI callers.
NBB-1102,Task,Add runtime contracts and fake provider harness,NBB-011,agents-runtime,P1,M,NBB-1101,docs/tickets/epics/NBB-011.md,#nbb-1102,Create typed run tool event structured-output contracts and fake provider tests.
NBB-1103,Task,Make prompt and model config provider-aware,NBB-011,backend/config,P1,L,NBB-1102,docs/tickets/epics/NBB-011.md,#nbb-1103,Validate prompt specs and expose provider-aware model metadata.
NBB-1104,Task,Replace static tool JSON with typed domain ToolSpecs,NBB-011,agents-runtime,P1,XL,NBB-1103,docs/tickets/epics/NBB-011.md,#nbb-1104,Make Pydantic ToolSpec contracts the source of truth for every domain and connector tool.
NBB-1105,Task,Add Anthropic runtime adapter,NBB-011,backend/providers,P1,L,NBB-1104,docs/tickets/epics/NBB-011.md,#nbb-1105,Move Claude content-block conversion behind the runtime provider adapter.
NBB-1106,Task,Migrate chat loop streaming and message persistence,NBB-011,backend/chat,P1,XL,NBB-1105,docs/tickets/epics/NBB-011.md,#nbb-1106,Make chat consume runtime events and persist neutral message content.
NBB-1107,Task,Migrate source extraction and source agents,NBB-011,backend/sources,P1,XL,NBB-1106,docs/tickets/epics/NBB-011.md,#nbb-1107,Move source extraction summary and analysis agents onto the runtime loop.
NBB-1108,Task,Migrate studio agent loops,NBB-011,backend/studio,P1,XL,NBB-1106,docs/tickets/epics/NBB-011.md,#nbb-1108,Move studio generators onto the runtime loop and typed outputs.
NBB-1109,Task,Add real OpenAI Responses adapter,NBB-011,backend/providers,P1,L,NBB-1105,docs/tickets/epics/NBB-011.md,#nbb-1109,Implement OpenAI Responses function calling streaming and structured-output adapter.
NBB-1110,Task,Add provider selection and cross-provider verification,NBB-011,agents-runtime,P1,L,NBB-1107;NBB-1108;NBB-1109,docs/tickets/epics/NBB-011.md,#nbb-1110,Run the same typed tools through Anthropic and OpenAI without domain caller branches.
NBB-1111,Task,Remove legacy AI integration surfaces and enforce no duplication,NBB-011,architecture,P1,M,NBB-1110,docs/tickets/epics/NBB-011.md,#nbb-1111,Delete old direct Claude parser/tool-loader surfaces and add no-duplication guardrails.
NBB-1112,Task,Collapse trivial echo tool bindings,NBB-011,architecture,P2,M,NBB-1111,docs/tickets/epics/NBB-011.md,#nbb-1112,Move single-tool echo bindings into owning workflows while keeping ToolSpec contracts catalog-owned.
NBB-1113,Task,Replace prompt JSON with typed prompt modules,NBB-011,backend/config,P2,L,NBB-1111,docs/tickets/epics/NBB-011.md,#nbb-1113,Make built-in prompts domain-owned Python PromptSpecs with typed context and centralized rendering.
NBB-1114,Task,Remove residual shallow hierarchy and legacy crutches,NBB-011,architecture,P2,L,NBB-1112;NBB-1113,docs/tickets/epics/NBB-011.md,#nbb-1114,Delete unused barrels stale placeholders and internal compatibility APIs left behind by the runtime prompt and tool migrations.
